editor_name,base_form,path_texture,pseudo_path,name_nif
CaveGEBalconyRamp02,00022EA4,Dungeons\Caves\Green\EpicBalcony\CaveGEBalconyRamp02.nif,dungeons/caves/green/epicbalcony/cavegebalconyramp02.nif,cavegebalconyramp02
NorTempleExteriorRibFree06,00022F1F,Dungeons\Nordic\Exterior\NorTempleExteriorRibFree06.nif,dungeons/nordic/exterior/nortempleexteriorribfree06.nif,nortempleexteriorribfree06
NorTempleExteriorRibFree05,00022F20,Dungeons\Nordic\Exterior\NorTempleExteriorRibFree05.nif,dungeons/nordic/exterior/nortempleexteriorribfree05.nif,nortempleexteriorribfree05
NorTempleExteriorRibFree03,00022F21,Dungeons\Nordic\Exterior\NorTempleExteriorRibFree03.nif,dungeons/nordic/exterior/nortempleexteriorribfree03.nif,nortempleexteriorribfree03
NorTempleExteriorRibFree02,00022F22,Dungeons\Nordic\Exterior\NorTempleExteriorRibFree02.nif,dungeons/nordic/exterior/nortempleexteriorribfree02.nif,nortempleexteriorribfree02
NorTempleExteriorRibFree01,00022F23,Dungeons\Nordic\Exterior\NorTempleExteriorRibFree01.nif,dungeons/nordic/exterior/nortempleexteriorribfree01.nif,nortempleexteriorribfree01
SOVintStrOpenL,000233D4,Architecture\Sovengarde\SovngardeInterior\SOVintStrOpenL.nif,architecture/sovengarde/sovngardeinterior/sovintstropenl.nif,sovintstropenl
SOVintStrOpenR,000233E1,Architecture\Sovengarde\SovngardeInterior\SOVintStrOpenR.nif,architecture/sovengarde/sovngardeinterior/sovintstropenr.nif,sovintstropenr
RoadChunkL03RiverBottom01,000233E9,Landscape\Roads\RoadChunkL03.nif,landscape/roads/roadchunkl03.nif,roadchunkl03
RockPileM02,000233EF,Landscape\Rocks\RockPileM02.nif,landscape/rocks/rockpilem02.nif,rockpilem02
dunKagrenzelFX,000233F7,Magic\HealFXHand01.nif,magic/healfxhand01.nif,healfxhand01
RoadChunkM01RiverBottom01,00023620,Landscape\Roads\RoadChunkM01.nif,landscape/roads/roadchunkm01.nif,roadchunkm01
RoadChunkL01RiverbedEdge01,0002368A,Landscape\Roads\RoadChunkL01.nif,landscape/roads/roadchunkl01.nif,roadchunkl01
RoadChunkL02RivbedEdge01,0002368C,Landscape\Roads\RoadChunkL02.nif,landscape/roads/roadchunkl02.nif,roadchunkl02
RoadChunkS02RiverbedEdge01,00023693,Landscape\Roads\RoadChunkS02.nif,landscape/roads/roadchunks02.nif,roadchunks02
1stPersonDraugrGreatsword,000236A4,Weapons\Draugr\1stPersonDraugrGreatSword.nif,weapons/draugr/1stpersondraugrgreatsword.nif,1stpersondraugrgreatsword
RoadChunkM04RiverBottom01,00023800,Landscape\Roads\RoadChunkM04.nif,landscape/roads/roadchunkm04.nif,roadchunkm04
RoadChunkM03RiverBottom01,00023802,Landscape\Roads\RoadChunkM03.nif,landscape/roads/roadchunkm03.nif,roadchunkm03
WRCompanionBase01,00023808,Architecture\WhiteRun\WRTerrain\WRCompanionBase01.nif,architecture/whiterun/wrterrain/wrcompanionbase01.nif,wrcompanionbase01
Smanhole,00023839,Architecture\Solitude\Smanhole.nif,architecture/solitude/smanhole.nif,smanhole
HagravenHouse03_snow,00023910,Clutter\Hagraven\HagravenHouse03.nif,clutter/hagraven/hagravenhouse03.nif,hagravenhouse03
DraugrBodyLaying0000,00023968,Clutter\Bodies\DraugrBodyLaying01.nif,clutter/bodies/draugrbodylaying01.nif,draugrbodylaying01
1stPersonSteelBow,00023B5A,Weapons\Steel\SteelBow.nif,weapons/steel/steelbow.nif,steelbow
MQpathToHHShrineSnow,00023DD5,Architecture\HighHrothgar\MQEtchedShrine.nif,architecture/highhrothgar/mqetchedshrine.nif,mqetchedshrine
SOVintStrWinL,000240CB,Architecture\Sovengarde\SovngardeInterior\SOVintStrWinL.nif,architecture/sovengarde/sovngardeinterior/sovintstrwinl.nif,sovintstrwinl
SOVintStrWinR,000240E3,Architecture\Sovengarde\SovngardeInterior\SOVintStrWinR.nif,architecture/sovengarde/sovngardeinterior/sovintstrwinr.nif,sovintstrwinr
NorTmpHallBg1wayWall02,00024354,Dungeons\Nordic\Temple\BgHalls\NorTmpHallBg1wayWall02.nif,dungeons/nordic/temple/bghalls/nortmphallbg1waywall02.nif,nortmphallbg1waywall02
NorHallBg1wayRamp256,00024358,Dungeons\Nordic\BgHalls\NorHallBg1wayRamp256.nif,dungeons/nordic/bghalls/norhallbg1wayramp256.nif,norhallbg1wayramp256
CaveIRoomCorner03,00024AC4,Dungeons\Caves\Ice\SmallRoom\CaveIRoomCorner03.nif,dungeons/caves/ice/smallroom/caveiroomcorner03.nif,caveiroomcorner03
CaveIRoomCorner04,00024AC5,Dungeons\Caves\Ice\SmallRoom\CaveIRoomCorner04.nif,dungeons/caves/ice/smallroom/caveiroomcorner04.nif,caveiroomcorner04
CaveIRoomMid01,00024AC6,Dungeons\Caves\Ice\SmallRoom\CaveIRoomMid01.nif,dungeons/caves/ice/smallroom/caveiroommid01.nif,caveiroommid01
CaveIRoomWall02,00024AC7,Dungeons\Caves\Ice\SmallRoom\CaveIRoomWall02.nif,dungeons/caves/ice/smallroom/caveiroomwall02.nif,caveiroomwall02
CaveIRoomWall03,00024AC8,Dungeons\Caves\Ice\SmallRoom\CaveIRoomWall03.nif,dungeons/caves/ice/smallroom/caveiroomwall03.nif,caveiroomwall03
CaveIRoomWall04,00024AC9,Dungeons\Caves\Ice\SmallRoom\CaveIRoomWall04.nif,dungeons/caves/ice/smallroom/caveiroomwall04.nif,caveiroomwall04
CaveIRoomCorner01,00024ACA,Dungeons\Caves\Ice\SmallRoom\CaveIRoomCorner01.nif,dungeons/caves/ice/smallroom/caveiroomcorner01.nif,caveiroomcorner01
CaveIRoomCorner02,00024ACB,Dungeons\Caves\Ice\SmallRoom\CaveIRoomCorner02.nif,dungeons/caves/ice/smallroom/caveiroomcorner02.nif,caveiroomcorner02
CaveIRoomDoor03,00024ADA,Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoor03.nif,dungeons/caves/ice/smallroom/caveiroomdoor03.nif,caveiroomdoor03
CaveIRoomDoor04,00024ADB,Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoor04.nif,dungeons/caves/ice/smallroom/caveiroomdoor04.nif,caveiroomdoor04
CaveIRoomICorner01,00024ADC,Dungeons\Caves\Ice\SmallRoom\CaveIRoomICorner01.nif,dungeons/caves/ice/smallroom/caveiroomicorner01.nif,caveiroomicorner01
CaveIRoomICorner02,00024ADD,Dungeons\Caves\Ice\SmallRoom\CaveIRoomICorner02.nif,dungeons/caves/ice/smallroom/caveiroomicorner02.nif,caveiroomicorner02
CaveIRoomICorner03,00024ADE,Dungeons\Caves\Ice\SmallRoom\CaveIRoomICorner03.nif,dungeons/caves/ice/smallroom/caveiroomicorner03.nif,caveiroomicorner03
CaveIRoomICorner04,00024ADF,Dungeons\Caves\Ice\SmallRoom\CaveIRoomICorner04.nif,dungeons/caves/ice/smallroom/caveiroomicorner04.nif,caveiroomicorner04
CaveIRoomDoor01,00024AE0,Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoor01.nif,dungeons/caves/ice/smallroom/caveiroomdoor01.nif,caveiroomdoor01
CaveIRoomDoor02,00024AE1,Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoor02.nif,dungeons/caves/ice/smallroom/caveiroomdoor02.nif,caveiroomdoor02
CaveIRoomDoorB03,00024B03,Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoorB03.nif,dungeons/caves/ice/smallroom/caveiroomdoorb03.nif,caveiroomdoorb03
CaveIRoomDoorB04,00024B04,Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoorB04.nif,dungeons/caves/ice/smallroom/caveiroomdoorb04.nif,caveiroomdoorb04
CaveIRoomDoorB01,00024B05,Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoorB01.nif,dungeons/caves/ice/smallroom/caveiroomdoorb01.nif,caveiroomdoorb01
CaveIRoomDoorB02,00024B06,Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoorB02.nif,dungeons/caves/ice/smallroom/caveiroomdoorb02.nif,caveiroomdoorb02
RockShelf01Rocks01,00024B88,Landscape\Rocks\RockShelf01.nif,landscape/rocks/rockshelf01.nif,rockshelf01
RockPileL04Rocks01,00024B97,Landscape\Rocks\RockPileL04.nif,landscape/rocks/rockpilel04.nif,rockpilel04
RockPileL04Rocks01SnowLight,00024B98,Landscape\Rocks\RockPileL04.nif,landscape/rocks/rockpilel04.nif,rockpilel04
RockL05Snow,00024B9B,Landscape\Rocks\RockL05.nif,landscape/rocks/rockl05.nif,rockl05
RockCliff03Snow,00024BAD,Landscape\Rocks\RockCliff03.nif,landscape/rocks/rockcliff03.nif,rockcliff03
RockPileS01DirtSnowPathSnowLight,00024BBA,Landscape\Rocks\RockPileS01.nif,landscape/rocks/rockpiles01.nif,rockpiles01
RockCliff01Snow01_HeavySN,00024BC5,Landscape\Rocks\RockCliff01.nif,landscape/rocks/rockcliff01.nif,rockcliff01
RockPileS01Rocks01,00024BDD,Landscape\Rocks\RockPileS01.nif,landscape/rocks/rockpiles01.nif,rockpiles01
RockPileL02Rocks01,00024C61,Landscape\Rocks\RockPileL02.nif,landscape/rocks/rockpilel02.nif,rockpilel02
RockCliff04Snow,00024C94,Landscape\Rocks\RockCliff04.nif,landscape/rocks/rockcliff04.nif,rockcliff04
CommonTable01,00024CB9,Clutter\Common\CommonTable01.nif,clutter/common/commontable01.nif,commontable01
RockCliff06Snow,00024D15,Landscape\Rocks\RockCliff06.nif,landscape/rocks/rockcliff06.nif,rockcliff06
SOVintExtBuildingPiece01,00024DF1,Architecture\Sovengarde\SovngardeInterior\SOVintExtBuildingPiece01.nif,architecture/sovengarde/sovngardeinterior/sovintextbuildingpiece01.nif,sovintextbuildingpiece01
RockPileS02Rocks01,00024E22,Landscape\Rocks\RockPileS02.nif,landscape/rocks/rockpiles02.nif,rockpiles02
SOVintStairsMain01,00024E34,Architecture\Sovengarde\SovngardeInterior\SOVintStairsMain01.nif,architecture/sovengarde/sovngardeinterior/sovintstairsmain01.nif,sovintstairsmain01
DirtCliffs01FieldGrass01,00024E48,Landscape\DirtCliffs\DirtCliffs01.nif,landscape/dirtcliffs/dirtcliffs01.nif,dirtcliffs01
RockPileL03FieldGrass01Moss,00024E4A,Landscape\Rocks\RockPileL03Moss.nif,landscape/rocks/rockpilel03moss.nif,rockpilel03moss
CaveGHall1Way02c,00024E70,Dungeons\Caves\Green\SmallHall\CaveGHall1Way02c.nif,dungeons/caves/green/smallhall/caveghall1way02c.nif,caveghall1way02c
RockPileL02FieldGrass01Moss,00024E7B,Landscape\Rocks\RockPileL02Tundra.nif,landscape/rocks/rockpilel02tundra.nif,rockpilel02tundra
CaveGHall1Way01c,00024E7C,Dungeons\Caves\Green\SmallHall\CaveGHall1Way01c.nif,dungeons/caves/green/smallhall/caveghall1way01c.nif,caveghall1way01c
RockPileM02FieldGrass01Moss,00024E8F,Landscape\Rocks\RockPileM02Tundra.nif,landscape/rocks/rockpilem02tundra.nif,rockpilem02tundra
NorShaftTrapDoorSTATIC,00024F07,Dungeons\Nordic\Doors\Animated\TrapDoor\Ruins_TrapDoor01.nif,dungeons/nordic/doors/animated/trapdoor/ruins_trapdoor01.nif,ruins_trapdoor01
NorShaftTrapDoorSmallerSTATIC,00024F08,Dungeons\Nordic\Doors\Animated\TrapDoor\Ruins_TrapDoorSmaller01.nif,dungeons/nordic/doors/animated/trapdoor/ruins_trapdoorsmaller01.nif,ruins_trapdoorsmaller01
SVittoriaViciHouse,00024F1E,Architecture\Solitude\SVittoriaViciHouse.nif,architecture/solitude/svittoriavicihouse.nif,svittoriavicihouse
CandleHornChandelier01,00024F20,Clutter\Candles\CandleHornChandelier01.nif,clutter/candles/candlehornchandelier01.nif,candlehornchandelier01
RockPileS02Rocks01Snow,00024F39,Landscape\Rocks\RockPileS02.nif,landscape/rocks/rockpiles02.nif,rockpiles02
RockPileS01PineForest01,00024F46,Landscape\Rocks\RockPileS01.nif,landscape/rocks/rockpiles01.nif,rockpiles01
MineScaffoldBase4Sided01ice,00025064,Dungeons\Mines\Scaffolding\MineScaffoldBase4Sided01.nif,dungeons/mines/scaffolding/minescaffoldbase4sided01.nif,minescaffoldbase4sided01
MineScaffoldBaseSupportW01ice,00025065,Dungeons\Mines\Scaffolding\MineScaffoldBaseSupportW01.nif,dungeons/mines/scaffolding/minescaffoldbasesupportw01.nif,minescaffoldbasesupportw01
SOVintCor01,00025178,Architecture\Sovengarde\SovngardeInterior\SOVintCor01.nif,architecture/sovengarde/sovngardeinterior/sovintcor01.nif,sovintcor01
NorDwelling03ExtBaseA,000251A5,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtBaseA.nif,dungeons/nordic/exterior/dwellings/nordwelling03extbasea.nif,nordwelling03extbasea
NorDwelling03ExtBaseB,000251B0,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtBaseB.nif,dungeons/nordic/exterior/dwellings/nordwelling03extbaseb.nif,nordwelling03extbaseb
NorDwelling03ExtCourtA,000251BB,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtCourtA.nif,dungeons/nordic/exterior/dwellings/nordwelling03extcourta.nif,nordwelling03extcourta
NorDwelling03ExtCourtB,000251E2,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtCourtB.nif,dungeons/nordic/exterior/dwellings/nordwelling03extcourtb.nif,nordwelling03extcourtb
SkyHavenWallTest03,0002520A,Architecture\SkyHavenTemple\SkyHavenWallTest03.nif,architecture/skyhaventemple/skyhavenwalltest03.nif,skyhavenwalltest03
NorDwelling03ExtCourtCap01,0002520B,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtCourtCap01.nif,dungeons/nordic/exterior/dwellings/nordwelling03extcourtcap01.nif,nordwelling03extcourtcap01
NorDwelling03ExtCourtStairs01,0002520C,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtCourtStairs01.nif,dungeons/nordic/exterior/dwellings/nordwelling03extcourtstairs01.nif,nordwelling03extcourtstairs01
NorDwelling03ExtPylons01,0002520D,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtPylons01.nif,dungeons/nordic/exterior/dwellings/nordwelling03extpylons01.nif,nordwelling03extpylons01
NorDwelling03IntA01,00025211,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03IntA01.nif,dungeons/nordic/exterior/dwellings/nordwelling03inta01.nif,nordwelling03inta01
NorDwelling03IntA02,00025219,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03IntA02.nif,dungeons/nordic/exterior/dwellings/nordwelling03inta02.nif,nordwelling03inta02
NorDwelling04ExtBaseA,0002521A,Dungeons\Nordic\Exterior\Dwellings\NorDwelling04ExtBaseA.nif,dungeons/nordic/exterior/dwellings/nordwelling04extbasea.nif,nordwelling04extbasea
NorDwelling04ExtBaseB,0002521B,Dungeons\Nordic\Exterior\Dwellings\NorDwelling04ExtBaseB.nif,dungeons/nordic/exterior/dwellings/nordwelling04extbaseb.nif,nordwelling04extbaseb
NorDwelling04ExtBaseC,0002521C,Dungeons\Nordic\Exterior\Dwellings\NorDwelling04ExtBaseC.nif,dungeons/nordic/exterior/dwellings/nordwelling04extbasec.nif,nordwelling04extbasec
NorDwelling04IntB01,0002521D,Dungeons\Nordic\Exterior\Dwellings\NorDwelling04IntB01.nif,dungeons/nordic/exterior/dwellings/nordwelling04intb01.nif,nordwelling04intb01
NorDwelling03ExtBaseASnow,0002521E,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtBaseA.nif,dungeons/nordic/exterior/dwellings/nordwelling03extbasea.nif,nordwelling03extbasea
NorDwelling03ExtPylons01Snow,0002521F,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtPylons01.nif,dungeons/nordic/exterior/dwellings/nordwelling03extpylons01.nif,nordwelling03extpylons01
NorDwelling04ExtBaseASnow,00025220,Dungeons\Nordic\Exterior\Dwellings\NorDwelling04ExtBaseA.nif,dungeons/nordic/exterior/dwellings/nordwelling04extbasea.nif,nordwelling04extbasea
SkyHavenTempleTempLayout01,00025222,Architecture\SkyHavenTemple\SkyHavenTempleTempLayout01.nif,architecture/skyhaventemple/skyhaventempletemplayout01.nif,skyhaventempletemplayout01
RockCliff08SnowRocks01,00025265,Landscape\Rocks\RockCliff08.nif,landscape/rocks/rockcliff08.nif,rockcliff08
DwePlatBgCorDblEnd01Snow,000257C8,Dungeons\Dwemer\Platforms\DwePlatBgCorDblEnd01.nif,dungeons/dwemer/platforms/dweplatbgcordblend01.nif,dweplatbgcordblend01
DweClutterArchLarge01Snow,00025802,Dungeons\Dwemer\Clutter\DweClutterArchLarge01.nif,dungeons/dwemer/clutter/dweclutterarchlarge01.nif,dweclutterarchlarge01
DweClutterColmLarge01Snow,00025808,Dungeons\Dwemer\Clutter\DweClutterColmLarge01.nif,dungeons/dwemer/clutter/dwecluttercolmlarge01.nif,dwecluttercolmlarge01
NorDwelling03ExtBaseBSnow,00025843,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtBaseB.nif,dungeons/nordic/exterior/dwellings/nordwelling03extbaseb.nif,nordwelling03extbaseb
NorDwelling03ExtCourtASnow,00025844,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtCourtA.nif,dungeons/nordic/exterior/dwellings/nordwelling03extcourta.nif,nordwelling03extcourta
NorDwelling03ExtCourtBSnow,00025845,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtCourtB.nif,dungeons/nordic/exterior/dwellings/nordwelling03extcourtb.nif,nordwelling03extcourtb
NorDwelling03ExtCourtCap01Snow,00025846,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtCourtCap01.nif,dungeons/nordic/exterior/dwellings/nordwelling03extcourtcap01.nif,nordwelling03extcourtcap01
NorDwelling03ExtCourtStairs01Snow,00025848,Dungeons\Nordic\Exterior\Dwellings\NorDwelling03ExtCourtStairs01.nif,dungeons/nordic/exterior/dwellings/nordwelling03extcourtstairs01.nif,nordwelling03extcourtstairs01
NorDwelling04ExtBaseBSnow,00025849,Dungeons\Nordic\Exterior\Dwellings\NorDwelling04ExtBaseB.nif,dungeons/nordic/exterior/dwellings/nordwelling04extbaseb.nif,nordwelling04extbaseb
NorDwelling04ExtBaseCSnow,0002584A,Dungeons\Nordic\Exterior\Dwellings\NorDwelling04ExtBaseC.nif,dungeons/nordic/exterior/dwellings/nordwelling04extbasec.nif,nordwelling04extbasec
CaveGShaftTop01c,0002589E,Dungeons\Caves\Green\Shafts\CaveGShaftTop01c.nif,dungeons/caves/green/shafts/cavegshafttop01c.nif,cavegshafttop01c
MrkKeepSteps01aTEMP,00025CE5,Architecture\Markarth\MrkKeepSteps01aTEMP.nif,architecture/markarth/mrkkeepsteps01atemp.nif,mrkkeepsteps01atemp
MrkMillBridgeWalkway01new,00025CF5,Architecture\Markarth\MrkMillBridgeWalkway01new.nif,architecture/markarth/mrkmillbridgewalkway01new.nif,mrkmillbridgewalkway01new
RoadStraightLong02,00025D61,Landscape\Roads\RoadStraightLong02.nif,landscape/roads/roadstraightlong02.nif,roadstraightlong02
MrkTempleCrag02,00025D78,Architecture\Markarth\MrkTempleCrag02.nif,architecture/markarth/mrktemplecrag02.nif,mrktemplecrag02
MrkTempleCrag02Rocks01,00025D96,Architecture\Markarth\MrkTempleCrag02Rocks01.nif,architecture/markarth/mrktemplecrag02rocks01.nif,mrktemplecrag02rocks01
MrkKeepCanalBridge04,00025D99,Architecture\Markarth\MrkKeepCanalBridge04.nif,architecture/markarth/mrkkeepcanalbridge04.nif,mrkkeepcanalbridge04
MrkKeepLand02b,00025D9D,Architecture\Markarth\MrkKeepLand02b.nif,architecture/markarth/mrkkeepland02b.nif,mrkkeepland02b
RockCliff03,00025DA8,Landscape\Rocks\RockCliff03.nif,landscape/rocks/rockcliff03.nif,rockcliff03
MountainCliffSlopeFrozenMarshIce01,00025DB3,Landscape\Mountains\MountainCliffSlope.nif,landscape/mountains/mountaincliffslope.nif,mountaincliffslope
MountainTrim01FrozenMarshIce01,00025DB7,Landscape\Mountains\MountainTrim01.nif,landscape/mountains/mountaintrim01.nif,mountaintrim01
TestNorBridgeMid04snowy,00026144,Dungeons\Nordic\Bridges\NorBridgeMid04.nif,dungeons/nordic/bridges/norbridgemid04.nif,norbridgemid04
NorRmSmFloorRaised01sn_light,00026145,Dungeons\Nordic\SmRooms\NorRmSmFloorRaised01.nif,dungeons/nordic/smrooms/norrmsmfloorraised01.nif,norrmsmfloorraised01
SkyrimCloudDistant01,0002630D,Sky\CloudDistant01.nif,sky/clouddistant01.nif,clouddistant01
SkyrimCloudDistant02,0002630E,Sky\CloudDistant02.nif,sky/clouddistant02.nif,clouddistant02
NorTable01NoShadow,000267CD,Clutter\Ruins\RuinsTable01.nif,clutter/ruins/ruinstable01.nif,ruinstable01
NorThroneSTATIC,000267D5,Furniture\Nordic\Ruins_Chair01.nif,furniture/nordic/ruins_chair01.nif,ruins_chair01
TestCaveGRoomMid01cIcy,00026863,Dungeons\Caves\Green\SmallRoom\CaveGRoomMid01c.nif,dungeons/caves/green/smallroom/cavegroommid01c.nif,cavegroommid01c
WalkwayRamp01,00026908,Architecture\Farmhouse\Walkway\WalkwayRamp01.nif,architecture/farmhouse/walkway/walkwayramp01.nif,walkwayramp01
RockL03Snow,00026959,Landscape\Rocks\RockL03.nif,landscape/rocks/rockl03.nif,rockl03
RockM01Snow,0002695A,Landscape\Rocks\RockM01.nif,landscape/rocks/rockm01.nif,rockm01
RockL02Snow,0002695B,Landscape\Rocks\RockL02.nif,landscape/rocks/rockl02.nif,rockl02
RockL01Snow,0002695C,Landscape\Rocks\RockL01.nif,landscape/rocks/rockl01.nif,rockl01
RockS01Snow,0002695D,Landscape\Rocks\RockS01.nif,landscape/rocks/rocks01.nif,rocks01
RockM02Snow,0002695E,Landscape\Rocks\RockM02.nif,landscape/rocks/rockm02.nif,rockm02
RockS02Snow,0002695F,Landscape\Rocks\RockS02.nif,landscape/rocks/rocks02.nif,rocks02
RockPileS01Snow,00026960,Landscape\Rocks\RockPileS01.nif,landscape/rocks/rockpiles01.nif,rockpiles01
CaveGECorner01c,00026BE5,Dungeons\Caves\Green\Epic\CaveGECorner01c.nif,dungeons/caves/green/epic/cavegecorner01c.nif,cavegecorner01c
CaveGEWall01c,00026BF1,Dungeons\Caves\Green\Epic\CaveGEWall01c.nif,dungeons/caves/green/epic/cavegewall01c.nif,cavegewall01c
CaveGEMid01c,00026BF2,Dungeons\Caves\Green\Epic\CaveGEMid01c.nif,dungeons/caves/green/epic/cavegemid01c.nif,cavegemid01c
CaveGECorner04c,00026BF3,Dungeons\Caves\Green\Epic\CaveGECorner04c.nif,dungeons/caves/green/epic/cavegecorner04c.nif,cavegecorner04c
CaveGECorner03c,00026BF4,Dungeons\Caves\Green\Epic\CaveGECorner03c.nif,dungeons/caves/green/epic/cavegecorner03c.nif,cavegecorner03c
CaveGECorner02c,00026BF5,Dungeons\Caves\Green\Epic\CaveGECorner02c.nif,dungeons/caves/green/epic/cavegecorner02c.nif,cavegecorner02c
CaveGEWall03c,00026BF6,Dungeons\Caves\Green\Epic\CaveGEWall03c.nif,dungeons/caves/green/epic/cavegewall03c.nif,cavegewall03c
CaveGEWall04c,00026BF7,Dungeons\Caves\Green\Epic\CaveGEWall04c.nif,dungeons/caves/green/epic/cavegewall04c.nif,cavegewall04c
CaveGEWall02c,00026BF8,Dungeons\Caves\Green\Epic\CaveGEWall02c.nif,dungeons/caves/green/epic/cavegewall02c.nif,cavegewall02c
CaveGLHall1Way02c,00026BF9,Dungeons\Caves\Green\LargeHall\CaveGLHall1Way02c.nif,dungeons/caves/green/largehall/caveglhall1way02c.nif,caveglhall1way02c
CaveGLHall1Way02,00026BFA,Dungeons\Caves\Green\LargeHall\CaveGLHall1Way02.nif,dungeons/caves/green/largehall/caveglhall1way02.nif,caveglhall1way02
CaveGLHall1Way01c,00026BFB,Dungeons\Caves\Green\LargeHall\CaveGLHall1Way01c.nif,dungeons/caves/green/largehall/caveglhall1way01c.nif,caveglhall1way01c
CaveGLHallDeadEnd02c,00026BFC,Dungeons\Caves\Green\LargeHall\CaveGLHallDeadEnd02c.nif,dungeons/caves/green/largehall/caveglhalldeadend02c.nif,caveglhalldeadend02c
CaveGLHallDeadEnd01c,00026BFD,Dungeons\Caves\Green\LargeHall\CaveGLHallDeadEnd01c.nif,dungeons/caves/green/largehall/caveglhalldeadend01c.nif,caveglhalldeadend01c
CaveGLHall2Way02c,00026BFE,Dungeons\Caves\Green\LargeHall\CaveGLHall2Way02c.nif,dungeons/caves/green/largehall/caveglhall2way02c.nif,caveglhall2way02c
CaveGLHall2Way01c,00026BFF,Dungeons\Caves\Green\LargeHall\CaveGLHall2Way01c.nif,dungeons/caves/green/largehall/caveglhall2way01c.nif,caveglhall2way01c
CaveGLRoomMid01c,00026C00,Dungeons\Caves\Green\LargeRoom\CaveGLRoomMid01c.nif,dungeons/caves/green/largeroom/caveglroommid01c.nif,caveglroommid01c
CaveGLRoomCorner04c,00026C01,Dungeons\Caves\Green\LargeRoom\CaveGLRoomCorner04c.nif,dungeons/caves/green/largeroom/caveglroomcorner04c.nif,caveglroomcorner04c
CaveGLRoomCorner03c,00026C02,Dungeons\Caves\Green\LargeRoom\CaveGLRoomCorner03c.nif,dungeons/caves/green/largeroom/caveglroomcorner03c.nif,caveglroomcorner03c
CaveGLRoomCorner02c,00026C03,Dungeons\Caves\Green\LargeRoom\CaveGLRoomCorner02c.nif,dungeons/caves/green/largeroom/caveglroomcorner02c.nif,caveglroomcorner02c
CaveGLRoomCorner01c,00026C04,Dungeons\Caves\Green\LargeRoom\CaveGLRoomCorner01c.nif,dungeons/caves/green/largeroom/caveglroomcorner01c.nif,caveglroomcorner01c
CaveGLRoomWall04c,00026C05,Dungeons\Caves\Green\LargeRoom\CaveGLRoomWall04c.nif,dungeons/caves/green/largeroom/caveglroomwall04c.nif,caveglroomwall04c
CaveGLRoomWall03c,00026C06,Dungeons\Caves\Green\LargeRoom\CaveGLRoomWall03c.nif,dungeons/caves/green/largeroom/caveglroomwall03c.nif,caveglroomwall03c
CaveGLRoomWall02c,00026C07,Dungeons\Caves\Green\LargeRoom\CaveGLRoomWall02c.nif,dungeons/caves/green/largeroom/caveglroomwall02c.nif,caveglroomwall02c
CaveGLRoomWall01c,00026C08,Dungeons\Caves\Green\LargeRoom\CaveGLRoomWall01c.nif,dungeons/caves/green/largeroom/caveglroomwall01c.nif,caveglroomwall01c
CaveGHall2Way02c,00026C09,Dungeons\Caves\Green\SmallHall\CaveGHall2Way02c.nif,dungeons/caves/green/smallhall/caveghall2way02c.nif,caveghall2way02c
CaveGHall2Way01c,00026C0A,Dungeons\Caves\Green\SmallHall\CaveGHall2Way01c.nif,dungeons/caves/green/smallhall/caveghall2way01c.nif,caveghall2way01c
CaveGHallDeadEnd02c,00026C0B,Dungeons\Caves\Green\SmallHall\CaveGHallDeadEnd02c.nif,dungeons/caves/green/smallhall/caveghalldeadend02c.nif,caveghalldeadend02c
CaveGHallDeadEnd01c,00026C0C,Dungeons\Caves\Green\SmallHall\CaveGHallDeadEnd01c.nif,dungeons/caves/green/smallhall/caveghalldeadend01c.nif,caveghalldeadend01c
CaveGRoomMid01c,00026C0D,Dungeons\Caves\Green\SmallRoom\CaveGRoomMid01c.nif,dungeons/caves/green/smallroom/cavegroommid01c.nif,cavegroommid01c
CaveGRoomCorner04c,00026C0E,Dungeons\Caves\Green\SmallRoom\CaveGRoomCorner04c.nif,dungeons/caves/green/smallroom/cavegroomcorner04c.nif,cavegroomcorner04c
